PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,21.65,23.58,23.85,26.38,28.84,28.71,28.65,27.27,27.12,25.05,22.72,21.19,25.42
T2M,2011,18.96,20.87,20.67,23.85,26.58,27.88,28.33,27.87,26.94,24.66,23.48,19.83,24.17
T2M,2012,20.44,21.33,23.23,26.42,27.81,27.94,28.1,28.36,26.69,25.41,25.05,22.8,25.3
T2M,2013,20.73,22.63,24.88,27.33,29.4,28.88,28.17,28.7,26.82,24.7,23.65,19.23,25.44
T2M,2014,18.95,20.39,23.72,26.3,28.88,29.6,28.73,28.19,27.8,25.74,24.52,20.98,25.34
T2M,2015,19.51,21.39,24.22,25.73,29.18,29.4,28.55,28.96,28.17,25.74,25.38,22.78,25.77
T2M,2016,21.91,19.78,23.25,28.65,28.94,29.37,29.01,28.75,27.39,26.19,24.26,22.06,25.81
T2M,2017,21.44,20.48,23.44,25.81,27.37,28.17,27.43,28.01,27.88,25.34,23.9,20.88,25.04
T2M,2018,20.56,19.72,22.58,24.69,27.65,27.76,27.55,27.51,27.35,25.65,24.42,22.77,24.88
T2M,2019,21.05,23.23,24.9,27.59,28.44,29.12,28.47,28.3,26.85,25.96,23.76,21.21,25.75
T2M,2020,21.37,21.62,25.25,25.07,28.63,29.14,29.03,28.16,28.22,25.76,23.57,20.69,25.55
ALLSKY_SFC_SW_DWN,2010,11.04,15.09,16.02,16.5,20.14,20.79,19.83,17.17,17.98,10.92,8.29,11.08,15.4
ALLSKY_SFC_SW_DWN,2011,5.86,13.24,10.6,16.08,19.71,18.91,19.19,18.63,12.96,10.52,10.78,4.98,13.45
ALLSKY_SFC_SW_DWN,2012,8.03,11.91,14.16,17.6,20.11,17.5,19.46,18.31,15.22,14.86,13.08,10.94,15.11
ALLSKY_SFC_SW_DWN,2013,10.26,15.09,15.86,16.47,20.12,19.17,17.77,16.84,14.11,11.61,9.14,6.4,14.39
ALLSKY_SFC_SW_DWN,2014,11.52,14.71,14.94,18.9,21.24,18.74,19.31,18.5,18.61,13.68,12.77,6.33,15.76
ALLSKY_SFC_SW_DWN,2015,12.15,14.47,17.42,18.56,21.62,21.04,14.81,20.66,18.76,15.25,13.77,9.94,16.54
ALLSKY_SFC_SW_DWN,2016,8.86,10.42,14.36,17.99,19.15,20.32,20.6,18.61,16.05,13.41,9.82,5.7,14.62
ALLSKY_SFC_SW_DWN,2017,10.5,12.32,15.74,17.01,16.82,20.43,16.78,19.28,19.16,11.03,7.88,6.57,14.46
ALLSKY_SFC_SW_DWN,2018,8.94,12.16,15.21,17.57,21.68,17.26,15.63,16.83,19.07,16.66,12.62,9.15,15.24
ALLSKY_SFC_SW_DWN,2019,10.16,17.83,16.24,20.48,19.27,21.86,18.73,16.49,15.01,16.94,11.38,11.12,16.27
ALLSKY_SFC_SW_DWN,2020,14.11,16.48,17.33,13.73,21.25,21.1,22.34,18.75,19.39,8.26,9.11,6.28,15.67
